ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,#DIV/0!,#DIV/0!,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ALB,Albania,#DIV/0!,#DIV/0!,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DZA,Algeria,#DIV/0!,#DIV/0!,0.026,0.038,0.049,0.061,0.074,0.086,0.098,0.110,0.123,0.135,0.147,0.160,0.172,0.184,0.196
AND,Andorra,#VALUE!,#VALUE!,26.292,25.420,24.609,24.521,24.534,24.546,24.558,24.570,24.583,24.595,24.607,24.620,24.632,24.644,24.656
AGO,Angola,#VALUE!,#VALUE!,0.165,0.160,0.155,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
ATG,Antigua and Barbuda,#VALUE!,#VALUE!,0.178,0.172,0.167,0.178,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207
ARG,Argentina,#VALUE!,#VALUE!,0.287,0.302,0.297,0.312,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299
ARM,Armenia,#VALUE!,#VALUE!,0.000,0.000,0.012,0.020,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
AUS,Australia,#VALUE!,#VALUE!,0.100,0.097,0.106,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113
AUT,Austria,#VALUE!,#VALUE!,0.226,0.219,0.240,0.239,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247
AZE,Azerbaijan,#VALUE!,#VALUE!,0.535,0.517,0.512,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510
BHS,Bahamas,#VALUE!,#VALUE!,0.100,0.097,0.110,0.117,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130
BHR,Bahrain,#VALUE!,#VALUE!,0.630,0.618,0.610,0.595,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603
BGD,Bangladesh ,#VALUE!,#VALUE!,0.613,0.618,0.626,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640
BRB,Barbados,#VALUE!,#VALUE!,0.065,0.080,0.106,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113
BLR,Belarus,#VALUE!,#VALUE!,0.217,0.210,0.248,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243
BEL,Belgium,#VALUE!,#VALUE!,0.122,0.151,0.167,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
BLZ,Belize,#VALUE!,#VALUE!,0.187,0.193,0.195,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198
BEN,Benin,#VALUE!,#VALUE!,0.287,0.277,0.277,0.288,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283
BTN,Bhutan,#VALUE!,#VALUE!,0.391,0.395,0.382,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381
BOL,"Bolivia, Plurinational State of",#VALUE!,#VALUE!,0.735,0.760,0.760,0.790,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789
BIH,Bosnia and Herzegovina,#VALUE!,#VALUE!,0.174,0.168,0.175,0.219,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206
BWA,Botswana,#VALUE!,#VALUE!,0.204,0.206,0.224,0.239,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243
BRA,Brazil,#VALUE!,#VALUE!,0.061,0.059,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061
BRN,Brunei Darussalam,#VALUE!,#VALUE!,0.100,0.097,0.098,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097
BGR,Bulgaria,#VALUE!,#VALUE!,0.244,0.235,0.244,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251
BFA,Burkina Faso,#VALUE!,#VALUE!,0.157,0.172,0.179,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194
BDI,Burundi,#VALUE!,#VALUE!,0.487,0.483,0.496,0.502,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518
KHM,Cambodia,#VALUE!,#VALUE!,0.096,0.109,0.118,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117
CMR,Cameroon,#VALUE!,#VALUE!,0.539,0.555,0.541,0.559,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579
CAN,Canada,#VALUE!,#VALUE!,0.226,0.231,0.236,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243
CPV,Cape Verde,#VALUE!,#VALUE!,0.096,0.092,0.126,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138
CAF,Central African Republic,#VALUE!,#VALUE!,0.187,0.181,0.195,0.194,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198
TCD,Chad,#VALUE!,#VALUE!,0.244,0.261,0.264,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263
CHL,Chile,#VALUE!,#VALUE!,0.630,0.618,0.618,0.636,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623
