"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"COL","Colombia",3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,
"COM","Comoros",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
"COG","Congo",1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1,1,1,1,
"COD","Congo, the Democratic Republic of the",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,
"CRI","Costa Rica",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,
"CIV","Côte d'Ivoire",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,
"HRV","Croatia",10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.5,10.3,10.4,10.8,10.8,10.8,10.8,
"CUB","Cuba",19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.7,20.1,20.6,21,21.4,21.4,21.4,21.4,
"CYP","Cyprus",8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.8,8.7,8.6,8.6,8.6,8.6,8.6,
"CZE","Czech Republic",16,16,16,16,16,16,16,16,16,15.9,16,16.1,16.2,15.8,15.8,15.8,
"DNK","Denmark",15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,16.6,17.2,16.7,16.1,21.4,21.4,21.4,21.4,
"DJI","Djibouti",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.1,1.2,1.3,1.3,1.3,
"DMA","Dominica",5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,
"DOM","Dominican Republic",5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,
"ECU","Ecuador",4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,
"EGY","Egypt",4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,6.3,8.2,8.5,8.7,8.9,9.2,9.2,
"SLV","El Salvador",3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.6,3.6,3.6,3.6,3.6,3.6,
"GNQ","Equatorial Guinea",1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,
"ERI","Eritrea",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,
"EST","Estonia",15.9,15.9,15.9,15.9,15.9,15.9,15.4,14.8,14.2,13.6,13.5,13.6,13.5,13.6,13.6,13.6,
"ETH","Ethiopia",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
"FJI","Fiji",2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,
