ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
BRN,Brunei Darussalam,0.344320838,0.349334229,0.341411917,0.335369891,0.357483288,0.378491615,0.417828391,0.421252778,0.442134171,0.451639081,0.462888221,0.495156065,0.533762136,0.541374267,0.569874298,0.562163385,0.582699762,0.582699762
BGR,Bulgaria,0.444416978,0.466281444,0.48011487,0.48377542,0.503195866,0.513046604,0.529643166,0.548922908,0.566313595,0.60316661,0.648603735,0.672088278,0.691571762,0.6913218,0.712607524,0.735581678,0.738358611,0.722691945
BFA,Burkina Faso,0.176006839,0.175818445,0.181560718,0.187744112,0.193621636,0.200064801,0.200731514,0.201919181,0.212361366,0.216094011,0.227153009,0.237983367,0.25113206,0.309651131,0.319237128,0.321863623,0.322109704,0.317943037
BDI,Burundi,0.14567947,0.14567923,0.153637679,0.161594399,0.159509022,0.158224961,0.164477436,0.173985871,0.1646799,0.163703852,0.192509903,0.209635876,0.205639601,0.228191004,0.233212577,0.240179354,0.242585988,0.241252654
KHM,Cambodia,0.171324956,0.173664939,0.17232996,0.173159534,0.180958459,0.188947405,0.185446159,0.18417329,0.179125895,0.18200279,0.192067831,0.207684367,0.234900507,0.261570767,0.302304478,0.339417659,0.352563711,0.364230378
CMR,Cameroon,0.177628416,0.177636585,0.189644582,0.201653449,0.197872383,0.194065204,0.197123894,0.201624151,0.216297063,0.214109804,0.228285538,0.246016845,0.261428863,0.278768778,0.301369514,0.311416124,0.318519828,0.330853161
CAN,Canada,0.76216059,0.767652456,0.774866502,0.733939266,0.745816216,0.750267862,0.762277894,0.770019141,0.780509323,0.78987339,0.800994736,0.81500343,0.822938586,0.831179544,0.838436721,0.838591214,0.836135085,0.836968418
CPV,Cape Verde,0.321402356,0.321402356,0.316951542,0.312931234,0.315688486,0.32491443,0.319560114,0.313911822,0.319279529,0.337368212,0.350338361,0.381800648,0.403030043,0.441433561,0.45989984,0.501890347,0.512898645,0.499231978
CAF,Central African Republic,0.158216846,0.158272621,0.159707594,0.161140112,0.160084836,0.158806522,0.171114678,0.183199163,0.154978106,0.151705757,0.162059169,0.160162694,0.165349822,0.173988827,0.203776002,0.213771305,0.218495558,0.216495558
TCD,Chad,0.164251657,0.164251657,0.165061651,0.16631613,0.170113215,0.174034174,0.17555775,0.177223429,0.157302593,0.157672545,0.153129938,0.157921642,0.167959409,0.173961648,0.192790502,0.19600173,0.197171759,0.191838426
