name,ISO3,business,finan,fiscal,gov_spend,invest,monetary,trade,non_violence,voice_accountability,corruption,mobiles,enrollment,rule_of_law,labor,economic,governance,social,readiness
Grenada,GRD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.591167053,0.672433783,0.572254444,0.677379005,0.764212571,0.525051469,#N/A,0.664714286,0.561740711,0.794341888,0.674597648
Guatemala,GTM,0.525,0.5,0.793,0.939,0.6,0.702,0.84,0.354506962,0.435114148,0.381040913,1,0.237861092,0.278602448,0.543,#N/A,0.61195176,#N/A,#N/A
Guinea,GIN,0.437,0.4,0.699,0.931,0.4,0.574,0.6,0.124314005,0.217640551,0.256993151,0.612560241,0.126420206,0.181490259,0.78,0.699857143,0.390220674,0.514865885,0.525753182
Guinea-Bissau,GNB,0.234,0.3,0.886,0.473,0.3,0.67,0.582,0.403285461,0.34997201,0.277417109,0.3826671,0.037465949,0.227067409,0.525,0.577285714,0.199649236,0.425117676,0.391172281
Guyana,GUY,0.634,0.4,0.559,0.262,0.3,0.71,0.713,0.395858817,0.521764443,0.392630221,0.36836276,0.158644813,0.382424917,0.652,0.492142857,0.343558193,0.293050114,0.371725166
Haiti,HTI,0.36,0.3,0.815,0.913,0.3,0.671,0.791,0.326934009,0.381624547,0.277821289,0.399975321,#N/A,0.235169393,0.692,0.511142857,0.43675116,0.390358123,0.440586435
Honduras,HND,0.63,0.6,0.847,0.735,0.6,0.702,0.837,0.445728703,0.408116887,0.323410347,1,0.255816549,0.32740515,0.316,0.592857143,0.328793282,#N/A,0.459840713
Hungary,HUN,0.768,0.7,0.686,0.259,0.75,0.741,0.875,0.618689639,0.699386674,0.591901028,1,0.891664732,0.661845167,0.676,0.707285714,0.392418646,0.474805425,0.524707276
Iceland,ISL,0.93,0.6,0.754,0.458,0.65,0.699,0.879,0.738977149,0.791065724,0.907001445,1,1,0.839878908,0.608,0.682714286,0.636659113,0.807377475,0.703240596
India,IND,0.363,0.4,0.734,0.761,0.35,0.675,0.679,0.264790329,0.592558458,0.435542991,0.499935209,0.181025603,0.509722234,0.577,0.71,0.812348106,0.861969727,0.792116958
Indonesia,IDN,0.531,0.4,0.819,0.891,0.35,0.708,0.779,0.372869468,0.489599807,0.359931113,0.761735943,0.332363932,0.389167912,0.508,0.566,0.430963926,0.441920761,0.478584497
Iran,IRN,0.699,0.1,0.811,0.796,0.099,0.547,0.502,0.199396072,0.205723018,0.335662156,0.79296832,0.51602463,0.321622637,0.551,0.639714286,0.407466796,0.497816947,0.513727939
Iraq,IRQ,0.336000001,0.084,0.084,0.08568,0.084,#N/A,0.336000001,0.038575723,0.268161182,0.226451416,0.688829699,0.195163006,0.13754882,#N/A,0.507714286,0.246927082,0.545403897,0.428103098
Ireland,IRL,0.928,0.8,0.711,0.618,0.95,0.79,0.875,0.693258684,0.771337289,0.841357545,1,0.799652161,0.839137169,0.79,#N/A,0.17772944,#N/A,0.200183988
Israel,ISR,0.664,0.7,0.584,0.354,0.85,0.782,0.878,0.212798867,0.614746305,0.655424863,1,0.819149898,0.664951058,0.654,0.810285714,0.768651173,0.857197333,0.808087911
Italy,ITA,0.779,0.6,0.552,0.312,0.75,0.79,0.875,0.604864501,0.705972023,0.510846136,1,0.921559269,0.576883704,0.582,0.687428571,0.494323345,0.784525239,0.65436861
Jamaica,JAM,0.87,0.6,0.748,0.618,0.85,0.684,0.722,0.433811272,0.605078147,0.412992426,1,0.331917943,0.403168248,0.7,0.665428571,0.607227553,0.770110743,0.67728755
Japan,JPN,0.845,0.5,0.672,0.611,0.6,0.888,0.824,0.688888569,0.704291521,0.767269241,0.990974444,0.795846995,0.760366987,0.824,0.727428571,0.483960615,0.608771548,0.594628392
Jordan,JOR,0.656,0.6,0.83,0.551,0.65,0.732,0.788,0.45514113,0.331880615,0.552474928,1,0.557545509,0.574982782,0.742,0.705714286,0.720149777,0.842797106,0.744712467
Kazakhstan,KAZ,0.735,0.5,0.879,0.821,0.3,0.656,0.859,0.627187687,0.294806962,0.319101229,1,0.581530526,0.389170184,0.831,0.686714286,0.446498891,0.718632073,0.608964886
Kenya,KEN,0.634,0.5,0.781,0.831,0.45,0.727,0.679,0.243137501,0.435893308,0.280535058,0.535174312,0.057307706,0.287265405,0.637,0.678571429,0.413698626,0.700425178,0.584129898
Kiribati,KIR,0.656,0.3,0.422,#N/A,0.25,0.719,0.554,0.787078717,0.645116125,0.478360744,0.011219338,#N/A,0.53488764,0.861,0.657428571,0.319855289,0.379186856,0.451932393
"Korea, DPR",PRK,0.360000001,0.092,#N/A,#N/A,0.099,#N/A,#N/A,0.451568714,0.056468444,0.225069506,0.003219127,#N/A,0.252332843,#N/A,#N/A,0.636851862,#N/A,#N/A
Korea,KOR,0.919,0.7,0.711,0.749,0.7,0.774,0.708,0.542139732,0.636895247,0.603336821,1,1,0.697877737,0.471,#N/A,0.244368888,#N/A,#N/A
Kuwait,KWT,0.658,0.5,0.999,0.766,0.55,0.664,0.825,0.582668917,0.392498975,0.58391963,1,0.237651418,0.616929619,0.88,0.751571429,0.594123934,0.792219434,0.722194712
Kyrgyzstan,KGZ,0.766,0.5,0.929,0.802,0.5,0.622,0.759,0.392794983,0.310752509,0.257735726,0.927552368,0.718766164,0.245154185,0.826,0.708857143,0.519695841,0.683645259,0.618882721
Laos,LAO,0.594,0.2,0.801,0.903,0.25,0.735,0.684,0.499193334,0.161325179,0.2735936,0.562953274,0.1832928,0.313988073,0.589,0.696857143,0.320427739,0.679368179,0.558899445
Latvia,LVA,0.729,0.5,0.827,0.574,0.8,0.67,0.875,0.587256826,0.656837987,0.559727479,1,0.949071087,0.664872914,0.591,0.595285714,0.311370704,0.412308537,0.438804304
Lebanon,LBN,0.566,0.6,0.916,0.628,0.55,0.714,0.805,0.201714206,0.433816174,0.342113646,0.397437892,0.742763906,0.374016212,0.57,0.710714286,0.601274097,0.801236,0.705610812
Lesotho,LSO,0.62,0.4,0.52,0.3,0.25,0.703,0.635,0.570398062,0.473158554,0.528368802,0.35177963,0.047731572,0.448147539,0.661,0.682714286,0.325881342,0.521054502,0.530854465
Liberia,LBR,0.528,0.2,0.678,0.823,0.2,0.654,0.538,0.303334538,0.436460252,0.389764547,0.23418582,0.198721144,0.283710553,0.513,0.489714286,0.523975139,0.377164685,0.453294223
Libya,LBY,0.2,0.2,0.817,0.628,0.1,0.664,0.85,0.62281523,0.125910057,0.28309843,0.857393194,0.68484196,0.351033259,0.2,0.517285714,0.376519779,0.307404379,0.405439126
Liechtenstein,LIE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.81608628,0.788760399,0.825083911,1,0.504897738,0.818959784,#N/A,0.494142857,0.343941239,0.523317103,0.457285639
Lithuania,LTU,0.82,0.8,0.846,0.635,0.75,0.708,0.875,0.630808235,0.674169552,0.549440576,1,1,0.643361424,0.585,#N/A,0.809976863,#N/A,#N/A
Luxembourg,LUX,0.751,0.8,0.659,0.585,0.95,0.789,0.875,0.785832364,0.806788112,0.889747194,1,0.130821109,0.862573555,0.404,0.776285714,0.618139454,0.807090356,0.739531238
Madagascar,MDG,0.719,0.5,0.873,0.888,0.6,0.754,0.732,0.367343806,0.377026055,0.451179623,0.336161504,0.050668624,0.354391969,0.469,0.772714286,0.82745589,0.599348666,0.726848188
Malawi,MWI,0.448,0.5,0.789,0.458,0.5,0.71,0.686,0.488323218,0.457092685,0.406410204,0.172962581,0.006622837,0.462029754,0.593,0.723714286,0.398516494,0.302555524,0.489734603
Malaysia,MYS,0.699,0.5,0.843,0.813,0.3,0.767,0.787,0.512901578,0.394926947,0.504164895,1,0.499970058,0.608352642,0.714,0.584428571,0.450608702,0.308653793,0.454078322
Maldives,MDV,0.823,0.3,0.955,#N/A,0.35,0.697,0.445,0.471004118,0.472219275,0.363850803,1,0.002576891,0.483036946,0.753,0.672714286,0.470664474,0.705580675,0.606797551
Mali,MLI,0.475,0.4,0.602,0.811,0.5,0.738,0.696,0.44737105,0.530004842,0.36346619,0.316382312,0.084947516,0.417845925,0.679,#N/A,0.435691399,0.559653459,0.499433273
Malta,MLT,0.7,0.6,0.625,0.456,0.7,0.781,0.875,0.71038115,0.738616181,0.678835083,1,0.441467109,0.799246798,0.6,0.603142857,0.446947361,0.374543938,0.475351473
Marshall Islands,MHL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.789169076,0.720356729,0.427493047,0.01802523,0.195034978,0.436076202,#N/A,0.676714286,0.709277471,0.710178477,0.687543595
Mauritania,MRT,0.483,0.4,0.751,0.734,0.3,0.78,0.699,0.268617985,0.29987801,0.369969292,0.729487636,0.053892489,0.333570289,0.525,#N/A,0.645672951,#N/A,#N/A
Mauritius,MUS,0.82467,0.7,0.925,0.834,0.85,0.712,0.856,0.62082049,0.656800731,0.647424741,0.937349048,0.35525664,0.68641358,0.785,0.592428571,0.312821762,0.410487603,0.43224056
Mexico,MEX,0.83,0.6,0.835,0.852,0.65,0.763,0.82,0.364682789,0.525936412,0.446906423,0.855250968,0.37288704,0.387553856,0.619,0.814524286,0.641681987,0.691004817,0.708566998
Micronesia FS,FSM,0.591,0.3,0.975,#N/A,0.2,0.767,0.81,0.757821012,0.708118102,0.478746262,0.377501626,0.161097029,0.517365827,0.818,0.764285714,0.445841875,0.558672966,0.589170952
Moldova,MDA,0.702,0.5,0.851,0.43,0.3,0.675,0.799,0.400026103,0.438706452,0.354210197,0.850092993,0.541570449,0.410030902,0.427,#N/A,0.648228459,0.46849112,0.562386171
Monaco,MCO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.715730417,0.680385658,#N/A,#N/A,#N/A,0.675584576,#N/A,0.608142857,0.397647584,0.557173586,0.521540222
Macedonia,MKD,0.652,0.6,0.893,0.659,0.6,0.79,0.833,0.457148164,0.525498634,0.49440379,1,0.553806446,0.455748991,0.831,#N/A,#N/A,#N/A,#N/A
Mongolia,MNG,0.69,0.6,0.819,0.567,0.5,0.665,0.798,0.564431837,0.490183755,0.347262097,0.926228676,0.745925117,0.422101845,0.759,0.718142857,0.492350196,0.710138859,0.627440535
Montenegro,MNE,0.701,0.5,0.9,0.544,0.55,0.732,0.832,0.608625368,0.559228489,0.43762644,1,#N/A,0.507339373,0.864,0.662714286,0.467292563,0.713313909,0.606320695
Morocco,MAR,0.761,0.6,0.685,0.815,0.6,0.784,0.712,0.415389373,0.34332689,0.454164301,0.87025884,0.18220257,0.468758418,0.217,0.679857143,0.535160099,#N/A,0.640458894
Mozambique,MOZ,0.587,0.5,0.776,0.761,0.5,0.749,0.745,0.594841683,0.486601158,0.418784969,0.286877556,0.018697629,0.385716198,0.42,0.708142857,0.404293521,0.434554957,0.523948982
Myanmar,MMR,0.2,0.1,0.819,0.984,0.099,0.465,0.723,0.160336157,0.070412521,0.152543138,0.009852103,0.14418284,0.198624682,0.2,0.659714286,0.500075937,0.277822846,0.489642734
Namibia,NAM,0.733,0.4,0.683,0.695,0.5,0.71,0.878,0.659285875,0.560201235,0.546380595,0.616589372,0.122541943,0.552439929,0.872,0.484285714,0.127763939,0.138164906,0.276754565
Nauru,NRU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.789169076,0.71005393,0.423301967,#N/A,#N/A,0.555581086,#N/A,0.657,0.588622568,0.540892811,0.581291714
Nepal,NPL,0.594,0.3,0.866,0.923,0.15,0.778,0.588,0.141972592,0.386066017,0.351309959,0.285693884,0.069785006,0.309585595,0.447,#N/A,0.640841658,#N/A,#N/A
Netherlands,NLD,0.826,0.8,0.52,0.384,0.9,0.81,0.875,0.687461968,0.807179971,0.916077006,1,0.831110264,0.852647369,0.591,0.599857143,0.293116189,0.278016121,0.402390228
New Zealand,NZL,0.999,0.8,0.636,0.513,0.8,0.831,0.86,0.69639742,0.795348789,0.9705856,1,1,0.878161907,0.888,0.730714286,0.803572982,0.818689408,0.781298547
Nicaragua,NIC,0.557,0.5,0.784,0.785,0.55,0.641,0.828,0.39903375,0.402587655,0.350055526,0.613777896,0.221723849,0.335241232,0.683,0.777,0.82077727,0.941540477,0.839268052
Niger,NER,0.372,0.4,0.651,0.851,0.5,0.776,0.757,0.268984863,0.361777429,0.370248863,0.18697717,0.019660551,0.37299616,0.407,0.663571429,0.38389231,0.463435744,0.501082921
Nigeria,NGA,0.532,0.4,0.844,0.647,0.4,0.754,0.672,0.113318125,0.331191873,0.289097847,0.519678272,0.129506529,0.258385243,0.857,0.615285714,0.333670385,0.24665847,0.415119881
Norway,NOR,0.888,0.6,0.505,0.498,0.65,0.742,0.892,0.735225818,0.810462698,0.883409973,1,1,0.871761416,0.471,0.607,0.244535948,0.441142511,0.423728894
Oman,OMN,0.669,0.6,0.985,0.574,0.55,0.648,0.834,0.660816814,0.287084638,0.594769448,1,0.373889764,0.635331078,0.864,0.682142857,0.809699496,0.835690354,0.776521447
Pakistan,PAK,0.717,0.4,0.805,0.888,0.3,0.694,0.67,0,0.302531029,0.282822099,0.667486495,0.090671696,0.316838454,0.498,0.694285714,0.514223633,0.718305211,0.626082999
Palau,PLW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.789169076,0.751589396,0.423301967,0.709473444,0.454460042,0.642177921,#N/A,0.639142857,0.195117709,0.393249161,0.413149998
Panama,PAN,0.759,0.7,0.826,0.9,0.65,0.732,0.758,0.528876251,0.611799035,0.448052073,1,0.618606858,0.48227421,0.413,#N/A,0.654686813,#N/A,#N/A
Papua New Guinea,PNG,0.591,0.3,0.65,0.633,0.35,0.726,0.862,0.378919254,0.522215267,0.225629785,0.14705535,0.022517597,0.307023688,0.833,0.760714286,0.529575786,0.628470267,0.643861501
Paraguay,PRY,0.609,0.6,0.966,0.917,0.65,0.754,0.835,0.304459808,0.452359016,0.325728224,0.973473571,0.383410021,0.305485382,0.261,0.587428571,0.375588102,0.327399159,0.429557394
Peru,PER,0.658,0.6,0.795,0.923,0.7,0.816,0.85,0.316034273,0.508718542,0.428858158,0.931613407,0.453102498,0.370182551,0.661,0.761571429,0.360849016,0.480842243,0.543431053
Philippines,PHL,0.481,0.5,0.788,0.912,0.4,0.727,0.778,0.219389165,0.476859281,0.359101802,0.890792963,0.39348864,0.394822236,0.519,0.763142857,0.417870324,0.603974614,0.59252623
