ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
AFG,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,Andorra,#VALUE!,#VALUE!,5985,5988,5991,5994,5997,6000,6003,6006,6009,6012,6015,6018,6021,6024,6027,6030
AGO,Angola,#VALUE!,#VALUE!,0.72,0.72,0.72,0.758000016,0.796000004,0.833999991,0.872,0.879000008,0.886000007,0.893000007,0.9,0.81220001,0.724400014,0.636600003,0.548800021,0.461
ATG,Antigua and Barbuda,#VALUE!,#VALUE!,6.662,6.758,6.64,6.628,6.614,6.828,6.744000006,6.66,6.58249979,6.504999924,6.427500057,6.35,6.322,6.259666681,6.197333427,6.202
ARG,Argentina,#VALUE!,#VALUE!,3.922,4.024666648,4.127333384,4.23,4.295000057,4.360000114,4.424999933,4.49,4.46420002,4.43840003,4.41260004,4.386800051,4.361,4.361000061,4.361000061,4.361
ARM,Armenia,#VALUE!,#VALUE!,8.332,8.535999889,8.74,8.81,9.058,8.968,9.058,10.16100037,11.264,11.22599995,11.18800032,11.15,11.612,12.00500011,12.398,12.398
AUS,Australia,#VALUE!,#VALUE!,1.504,1.504,1.504,1.504857144,1.505714288,1.506571433,1.507428563,1.508285707,1.509142852,1.51,1.606400058,1.702799976,1.799199998,1.895599902,1.992,1.992
AUT,Austria,#VALUE!,#VALUE!,4.802,5.564,4.916000063,4.268000061,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62
AZE,Azerbaijan,#VALUE!,#VALUE!,6.16,6.379999924,6.600000191,6.82,6.815166473,6.81033349,6.805499971,6.800666451,6.795833468,6.791,6.901,6.901000076,6.901000076,6.901000076,6.901000076,6.901
BHS,Bahamas,#VALUE!,#VALUE!,11.004,12.102,11.232,11.232,11.022,10.894,11.972,12.03400032,12.096,12.17066662,12.2453336,12.32,12.264,12.28999996,12.31599998,12.342
BHR,Bahrain,#VALUE!,#VALUE!,14.51,14.51,14.51,14.51,14.51,14.71,14.65,14.94939995,14.42030001,13.89119983,13.36209965,12.833,13.83766651,14.84233284,15.8469999,17.291
BGD,Bangladesh ,#VALUE!,#VALUE!,11.95,12.15,12.35,12.75,12.75,12.95,13.15,13.15,13.35,13.52333336,13.696667,13.87,14.23,16.14000019,16.91450024,17.689
BRB,Barbados,#VALUE!,#VALUE!,16.26,16.208,16.072,15.614,15.452,15.624,15.482,15.49300018,15.504,15.55933348,15.61466661,15.67,16.008,15.9746666,15.94133329,15.908
BLR,Belarus,#VALUE!,#VALUE!,7.45,7.506,7.03799984,6.57,6.890599728,7.21119976,7.531799793,7.852399826,8.172999859,8.493599892,8.814199924,9.134799957,9.45539999,9.776,9.776,9.776
BEL,Belgium,#VALUE!,#VALUE!,8.07,8.07,8.07,8.367999859,8.665999956,8.964000053,9.262,8.922666616,8.583333321,8.244,11.51,11.61899996,11.728,6.617,6.726500034,6.836
BLZ,Belize,#VALUE!,#VALUE!,0.682,0.681000023,0.68,0.695500015,0.710999994,0.726500003,0.742,0.759333341,0.77666667,0.794,0.88,0.871000051,0.862,0.861999989,0.861999989,0.862
BEN,Benin,#VALUE!,#VALUE!,6.26,6.225000095,6.19000001,6.154999924,6.12,6.51300025,6.906000137,7.298999786,7.692000151,8.085000038,8.478,8.477999926,8.477999926,8.477999926,8.477999926,8.478
BTN,Bhutan,#VALUE!,#VALUE!,20.82,21.082,21.24,21.372,21.612,21.668,21.504,21.5617851,21.61,21.75480362,21.87,22.07,22.298,22.70333382,23.08466625,23.466
BOL,"Bolivia, Plurinational State of",#VALUE!,#VALUE!,21.2,21.4,21.6,21.6,21.8,22,22,22,22.16500015,22.33000011,23.83016682,25.33033272,25.42249966,25.51466658,27.64483356,29.775
BIH,Bosnia and Herzegovina,#VALUE!,#VALUE!,2.46,2.356,2.606999884,2.85799993,3.108999977,3.36,3.388333201,3.416666508,3.444999933,3.47333324,3.501666665,3.530000091,3.558333397,3.586666703,3.615,3.615
BWA,Botswana,#VALUE!,#VALUE!,0.956,0.951999996,0.947999995,0.943999995,0.939999994,0.936000001,0.932,0.928,0.923999999,0.92,0.912249967,0.90450003,0.896750033,0.889,0.889000028,0.889
BRA,Brazil,#VALUE!,#VALUE!,0.5611,0.506600009,0.452099995,0.397599997,0.3431,0.343099998,0.343099998,0.343099998,0.343099998,0.3431,0.324433328,0.305766666,0.2871,0.436,0.361550003,0.2871
BRN,Brunei Darussalam,#VALUE!,#VALUE!,2.813,3.771999939,4.731,4.690500124,4.650000198,4.609500034,4.569,4.569,4.569,4.569,4.569,4.569,4.569,4.569,4.569,4.569
BGR,Bulgaria,#VALUE!,#VALUE!,7.544,7.544,7.544,7.544,7.492,7.534,7.366,7.367999973,7.37,7.4479,7.5258,7.731639862,7.937479734,8.143320084,8.349159956,8.555
BFA,Burkina Faso,#VALUE!,#VALUE!,3.226,3.226,3.226,3.226,3.226,3.270799959,3.315600002,3.360399985,3.405200028,3.45,3.483000219,3.516,3.516000092,3.516000092,3.516000092,3.516
BDI,Burundi,#VALUE!,#VALUE!,6.46,6.384,6.456,6.543999996,6.632,6.14,6.166166544,6.192333221,6.218499899,6.244666576,6.270833254,6.297,9.94,9.947,9.947000265,9.947
KHM,Cambodia,#VALUE!,#VALUE!,7.756,7.756,7.834999976,7.914000092,7.993000088,8.072,8.205999908,8.34,8.235166311,8.130333185,8.025500059,7.920666695,7.815833092,7.711,8.726500034,9.742
CMR,Cameroon,#VALUE!,#VALUE!,11.486,11.648,11.464,11.468,11.496,11.368,11.338,11.5160001,11.694,11.75933344,11.82466681,11.89,12.01,11.99,12.1074996,12.225
CAN,Canada,#VALUE!,#VALUE!,0.558,0.56,0.566,0.567,0.567999994,0.568999996,0.57,0.576666666,0.583333334,0.59,0.656749971,0.723499998,0.790250018,0.857,0.757999957,0.659
CPV,Cape Verde,#VALUE!,#VALUE!,0.301,0.299800001,0.298600003,0.297399998,0.2962,0.295,0.283,0.270999998,0.259000004,0.247,0.247,0.247,0.247,0.247,0.247,0.247
CAF,Central African Republic,#VALUE!,#VALUE!,1.444,1.444,1.444,1.444,1.442,1.17,1.178750008,1.1875,1.196250021,1.205000013,1.213750005,1.222500026,1.231250018,1.24,1.290000021,1.34
TCD,Chad,#VALUE!,#VALUE!,1.748,1.748,1.777000001,1.806,1.834999999,1.863999999,1.892999983,1.921999997,1.951000011,1.98,1.702399969,1.424800038,1.147200018,0.869600028,0.592,0.592
CHL,Chile,#VALUE!,#VALUE!,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.12546663,14.00093322,13.8764,13.93820004,14,14.09400015,14.188
CHN,China,#VALUE!,#VALUE!,1.212,1.212,1.291750009,1.37150001,1.451250012,1.531000013,1.610750015,1.690500016,1.770250018,1.85,2.002750039,2.155500054,2.30825007,2.461,1.751999974,1.043
COL,Colombia,#VALUE!,#VALUE!,0.48,0.489999998,0.500000004,0.510000001,0.519999999,0.529999997,0.539999995,0.550000001,0.560000006,0.57,0.526599988,0.483199999,0.439799994,0.396399982,0.353,0.353
COM,Comoros,#VALUE!,#VALUE!,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.339999999,0.35,0.36,0.310999997,0.262,0.262,0.262,0.262,0.262
COG,Congo,#VALUE!,#VALUE!,2.79,2.838666801,2.887333279,2.936,2.910800104,2.885599976,2.860400085,2.835199957,2.81,2.858131409,2.906262696,2.95439409,2.701596022,2.448798031,2.196,2.196
COD,"Congo, the Democratic Republic of the",#VALUE!,#VALUE!,4.14,4.14,4.18,4.18,4.3,4.24,3.07,4.244,3.8,3.968856931,4.137714286,4.194971323,4.252228498,4.309485674,4.36674273,4.424
CRI,Costa Rica,#VALUE!,#VALUE!,2.53,2.700000095,2.87,3.09,2.726,3.19,3.23,3.25,3.29825001,3.326500008,3.354750006,3.403000004,3.431250002,3.4595,2.184749901,0.91
CIV,C™te d'Ivoire,#VALUE!,#VALUE!,0.892,0.892,0.892,0.912571427,0.933142853,0.953714279,0.974285704,0.994857145,1.015428555,1.036,1.036,1.036,1.036,1.036,1.036,1.036
HRV,Croatia,#VALUE!,#VALUE!,1.462,1.450666658,1.439333311,1.427999995,1.416666648,1.405333332,1.393999985,1.382666669,1.371333323,1.36,1.244666666,1.129333317,1.014,1.013999999,1.013999999,1.014
CUB,Cuba,#VALUE!,#VALUE!,0.667,0.667,0.676499993,0.686000005,0.695500002,0.704999999,0.714499996,0.723999993,0.733500005,0.743,0.743,0.743,0.743,0.743,0.743,0.743
CYP,Cyprus,#VALUE!,#VALUE!,2.638,2.658,2.674,2.732,4.368,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58
CZE,Czech Republic,#VALUE!,#VALUE!,0.78,0.78,0.7875,0.795000008,0.802500001,0.810000008,0.817500001,0.824999994,0.832500002,0.84,0.822750002,0.805500031,0.788249999,0.771,0.770999998,0.771
DNK,Denmark,#VALUE!,#VALUE!,9.532,9.96,9.978,10.036,10.164,10.226,10.208,10.26,10.348,10.26,10.46,10.4,10.76,10.88102548,10.91351223,10.946
DJI,Djibouti,#VALUE!,#VALUE!,17.8,17.92399925,18.048,18.44333309,18.83866638,19.234,19.24699921,19.26,19.69560051,20.13119984,20.56680012,21.0024004,21.438,21.79166698,22.14533424,22.499
DMA,Dominica,#VALUE!,#VALUE!,9.08,9.08,8.792666416,8.505333405,8.218,9.946,9.304999809,8.664,8.643000107,8.622000198,8.600999813,8.58,9.023499489,9.467,9.711999893,9.957
DOM,Dominican Republic,#VALUE!,#VALUE!,14.93,14.93,15.13,14.93,15.13,15.73,15.73,15.93,15.93,15.98333328,16.03666656,16.09,16.174,15.8,16.00049973,16.201
ECU,Ecuador,#VALUE!,#VALUE!,15.26,15.26,15.46,15.66,15.66,15.66,15.66,15.86,16.54999977,17.24,16.66100025,16.082,21.378,22.15949965,22.941,22.941
EGY,Egypt,#VALUE!,#VALUE!,0.802,0.7,0.695333345,0.690666659,0.686,0.7052,0.724399997,0.743599994,0.762799991,0.782,0.928,1.10333335,1.180666685,1.258000004,1.258000016,1.258
SLV,El Salvador,#VALUE!,#VALUE!,5.11,5.156,5.17,6.076250076,6.982500076,7.888749838,8.795,8.795,8.795,8.795,8.795,8.795,8.795,8.795,8.795,8.795
GNQ,Equatorial Guinea,#VALUE!,#VALUE!,4.838,5.493999899,6.15,5.963333309,5.776666582,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59
ERI,Eritrea,#VALUE!,#VALUE!,4.32,4.31,5.052,4.752999935,4.454,4.62,4.701888919,4.783777833,4.865666747,4.947555542,5.029444456,5.11133337,5.193222284,5.275111198,5.357,5.357
EST,Estonia,#VALUE!,#VALUE!,7.39,7.39,6.55,6.895333385,7.240666723,7.586,7.710800266,7.835599995,7.9604002,8.085199928,8.21,8.452499866,8.695000172,8.9375,9.18,9.18
ETH,Ethiopia,#VALUE!,#VALUE!,2.62,2.780999947,2.942,3.035333204,3.128666687,3.222,3.250999975,3.28,3.344166815,3.408333361,3.472499907,3.536666632,3.566833287,3.597,3.596999913,3.597
FJI,Fiji,#VALUE!,#VALUE!,0.951,1.027,1.040999982,1.054999981,1.068999979,1.082999978,1.096999977,1.110999975,1.124999974,1.139,1.139,1.139,1.139,1.139,1.139,1.139
FIN,Finland,#VALUE!,#VALUE!,0.643,0.643,0.647999998,0.653,0.658000003,0.662999998,0.668000001,0.673000004,0.677999999,0.683,0.683,0.683,0.683,0.683,0.683,0.683
FRA,France,#VALUE!,#VALUE!,13.362,13.276,13.208,13.2,13.392,15.93,13.3,13.36800001,13.43599985,13.50400017,13.57200001,13.64,13.63899994,13.638,13.44250011,13.247
