ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Raw Reporting,Input Reporting
CIV,C̫te d'Ivoire,0.56,0.57,0.57,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.58,0.57,0.56,0.55,0.57,0.6,,,
HRV,Croatia,0.26,0.25,0.25,0.25,0.25,0.24,0.21,0.21,0.21,0.19,0.2,0.18,0.19,0.18,0.21,0.24,,,
CUB,Cuba,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.16,0.19,,,
CYP,Cyprus,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.14,0.17,,,
CZE,Czech Republic,0.24,0.23,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.16,0.16,0.19,0.22,,,
DNK,Denmark,0.2,0.19,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.16,0.19,,,
DJI,Djibouti,0.65,0.64,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.6,0.59,0.61,0.64,,,
DMA,Dominica,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.2,0.23,0.26,0.29,0.32,0.35,0.38,0.41,,,
DOM,Dominican Republic,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.28,0.31,,,
ECU,Ecuador,0.28,0.27,0.26,0.25,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.23,0.26,,,
EGY,Egypt,0.38,0.37,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.33,0.35,,,
SLV,El Salvador,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.3,0.33,,,
GNQ,Equatorial Guinea,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.7,0.72,0.74,,,
ERI,Eritrea,0.66,0.64,0.62,0.61,0.6,0.58,0.57,0.56,0.55,0.54,0.54,0.53,0.52,0.51,0.53,0.56,,,
EST,Estonia,0.34,0.3,0.3,0.3,0.29,0.28,0.29,0.28,0.27,0.26,0.25,0.24,0.24,0.22,0.25,0.28,,,
ETH,Ethiopia,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.64,0.63,0.62,0.61,0.6,0.62,0.64,,,
FJI,Fiji,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.35,0.38,,,
FIN,Finland,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.1,0.14,0.17,,,
FRA,France,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.08,0.08,0.07,0.1,0.13,,,
GAB,Gabon,0.47,0.48,0.48,0.49,0.5,0.5,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.49,0.52,0.54,,,
GMB,Gambia,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.61,0.61,0.6,0.6,0.59,0.59,0.58,0.6,0.63,,,
GEO,Georgia,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.3,0.33,,,
DEU,Germany,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.14,0.13,0.13,0.11,0.1,0.1,0.1,0.13,0.16,,,
GHA,Ghana,0.52,0.52,0.52,0.53,0.54,0.54,0.55,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.59,0.61,,,
GRC,Greece,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.13,0.16,,,
GRD,Grenada,0.27,0.26,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.22,0.25,,,
GTM,Guatemala,0.4,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.32,0.35,,,
GIN,Guinea,0.69,0.68,0.67,0.66,0.65,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.55,0.54,0.57,0.59,,,
GNB,Guinea-Bissau,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.75,0.74,0.76,0.78,,,
GUY,Guyana,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.38,0.41,,,
HTI,Haiti,0.55,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.48,0.5,0.52,,,
HND,Honduras,0.33,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.28,0.31,,,
HUN,Hungary,0.3,0.29,0.29,0.29,0.29,0.28,0.26,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.25,0.28,,,
ISL,Iceland,0.15,0.14,0.14,0.14,0.13,0.12,0.11,0.11,0.11,0.08,0.07,0.08,0.07,0.07,0.1,0.13,,,
IND,India,0.51,0.5,0.49,0.49,0.48,0.47,0.47,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.45,0.48,,,
IDN,Indonesia,0.41,0.4,0.39,0.37,0.36,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.29,0.28,0.31,0.34,,,
IRN,"Iran, Islamic Republic of",0.36,0.35,0.34,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.3,0.33,,,
IRQ,Iraq,0.32,0.31,0.29,0.28,0.28,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.34,0.34,0.37,0.4,,,
IRL,Ireland,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.14,0.13,0.12,0.11,0.11,0.11,0.1,0.13,0.17,,,
ISR,Israel,0.15,0.14,0.14,0.14,0.13,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.11,0.14,,,
ITA,Italy,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.11,0.09,0.08,0.07,0.07,0.06,0.09,0.13,,,
JAM,Jamaica,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.29,0.32,,,
JPN,Japan,0.11,0.1,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.08,0.11,,,
JOR,Jordan,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.27,0.3,,,
KAZ,Kazakhstan,0.4,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.4,0.42,,,
KEN,Kenya,0.55,0.57,0.59,0.61,0.63,0.64,0.66,0.66,0.66,0.66,0.65,0.64,0.63,0.62,0.64,0.66,,,
KIR,Kiribati,0.51,0.5,0.49,0.5,0.5,0.51,0.48,0.44,0.46,0.47,0.48,0.51,0.53,0.55,0.58,0.6,,,
PRK,"Korea, Democratic People's Republic of",0.33,0.34,0.35,0.35,0.36,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.38,0.41,,,
