ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Raw Reporting,Input Reporting
TUR,Turkey,0.35,0.34,0.33,0.32,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.29,0.32,,,
TKM,Turkmenistan,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.43,0.46,,,
TUV,Tuvalu,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,,,
UGA,Uganda,0.79,0.8,0.8,0.79,0.78,0.78,0.76,0.75,0.73,0.71,0.7,0.68,0.66,0.65,0.67,0.69,,,
UKR,Ukraine,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.34,0.34,0.34,0.34,0.34,0.33,0.36,0.39,,,
ARE,United Arab Emirates,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.18,0.21,,,
GBR,United Kingdom,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.13,0.17,,,
USA,United States,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.16,0.19,,,
URY,Uruguay,0.23,0.23,0.23,0.22,0.22,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.21,0.24,,,
UZB,Uzbekistan,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.37,0.4,,,
VUT,Vanuatu,0.39,0.38,0.37,0.36,0.36,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.29,0.32,0.35,,,
VEN,"Venezuela, Bolivarian Republic of",0.26,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.26,0.29,,,
VNM,Viet Nam,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.24,0.27,,,
YEM,Yemen,0.56,0.55,0.54,0.54,0.53,0.52,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.47,0.49,,,
ZMB,Zambia,0.77,0.79,0.81,0.83,0.85,0.86,0.87,0.87,0.86,0.86,0.84,0.83,0.81,0.79,0.81,0.83,,,
ZWE,Zimbabwe,0.64,0.68,0.72,0.77,0.8,0.83,0.86,0.87,0.88,0.88,0.87,0.86,0.84,0.82,0.83,0.85,,,
