ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
BRN,Brunei Darussalam,0.650098218,0.650098218,0.629614162,0.609130121,0.604601145,0.600072159,0.598470712,0.596869265,0.60790419,0.577811801,0.559348499,0.541345147,0.589154627,0.602590097,0.659485744,0.65903832,0.676275548,0.676275548
BGR,Bulgaria,0.408726192,0.408726192,0.418107146,0.427488101,0.441025114,0.454562127,0.467883381,0.481204637,0.461202514,0.47469022,0.467894661,0.464392976,0.471916999,0.46132383,0.489924713,0.484401748,0.481732548,0.481732548
BFA,Burkina Faso,0.294636516,0.294636516,0.312946415,0.331256326,0.348601675,0.365947031,0.364733386,0.363519737,0.3871472,0.387508094,0.39758684,0.417407951,0.421127256,0.433374372,0.45587157,0.457952925,0.424105737,0.424105737
BDI,Burundi,0.156026789,0.156026789,0.179897261,0.20376771,0.195929623,0.188091516,0.205611658,0.223131809,0.192812009,0.180674854,0.262910874,0.304586998,0.282456092,0.291819257,0.268161986,0.262395532,0.269115434,0.269115434
KHM,Cambodia,0.271854967,0.271854967,0.274439907,0.277024842,0.28992033,0.302815826,0.29179306,0.280770307,0.255049008,0.250108213,0.26279251,0.266427855,0.287335246,0.279960069,0.282148497,0.281513432,0.294291589,0.294291589
CMR,Cameroon,0.205110232,0.205110232,0.241110849,0.277111439,0.265736198,0.254360947,0.252301884,0.250242804,0.28144367,0.260934434,0.263973729,0.275085364,0.267174338,0.281667062,0.278765659,0.290464677,0.292436217,0.292436217
CAN,Canada,0.826467441,0.826467441,0.835881162,0.845294878,0.840286088,0.835277299,0.833508539,0.831739803,0.840407665,0.840801958,0.832396154,0.855747733,0.856203383,0.858659412,0.858595141,0.858942729,0.851074343,0.851074343
CPV,Cape Verde,0.654645641,0.654645641,0.641266286,0.627886921,0.627062726,0.62623851,0.582041532,0.537844548,0.528356223,0.554875155,0.561691789,0.614554637,0.611920115,0.601829594,0.595692562,0.584426148,0.587819329,0.587819329
CAF,Central African Republic,0.199014764,0.199014764,0.203275895,0.207537041,0.203989506,0.200441952,0.23707118,0.273700377,0.18573424,0.173777322,0.203559495,0.202361618,0.195442883,0.213063336,0.235327879,0.239991033,0.24348122,0.24348122
TCD,Chad,0.268320256,0.268320256,0.270259666,0.272199104,0.282885218,0.293571334,0.297147226,0.300723108,0.238462601,0.232261087,0.209319189,0.203776399,0.204214933,0.186417498,0.198618866,0.200642186,0.207522417,0.207522417
CHL,Chile,0.710037125,0.710037125,0.714702892,0.719368618,0.735664868,0.751961112,0.756043792,0.760126463,0.748764438,0.761923747,0.754632243,0.746923342,0.748335795,0.758331451,0.748953531,0.758775652,0.774108878,0.774108878
CHN,China,0.413966845,0.413966845,0.421739489,0.429512132,0.416614908,0.403717686,0.410277772,0.416837859,0.406514799,0.412981591,0.402771301,0.386201665,0.406425765,0.429877729,0.431123747,0.430743766,0.414467651,0.414467651
COL,Colombia,0.322035819,0.322035819,0.332708001,0.343380206,0.32400732,0.304634456,0.321726513,0.338818576,0.34826506,0.360104222,0.366372516,0.395218752,0.404175525,0.411033161,0.41728946,0.432648364,0.447151408,0.447151408
COM,Comoros,0.289332738,0.289332738,0.271252251,0.253171721,0.23827858,0.223385412,0.257362795,0.291340211,0.305552993,0.288144227,0.294287768,0.303720066,0.293221172,0.286455131,0.269503851,0.28784431,0.295594943,0.295594943
COG,Congo,0.233996211,0.233996211,0.196049213,0.158102203,0.185819387,0.21353655,0.232694387,0.251852202,0.263091325,0.270088277,0.207560707,0.251699389,0.257159441,0.266305617,0.269380881,0.270506784,0.268289315,0.268289315
COD,"Congo, the Democratic Republic of the",,,,,,,,,,,,,,,,,,
CRI,Costa Rica,0.602344735,0.602344735,0.617217374,0.632090025,0.62216053,0.612231031,0.618093204,0.623955399,0.624672043,0.605723395,0.602562269,0.582764852,0.565284159,0.582231803,0.607666438,0.598168195,0.592627381,0.592627381
CIV,C™te d'Ivoire,0.335538589,0.335538589,0.323225355,0.310912138,0.286188602,0.261465062,0.242934704,0.22440435,0.208936112,0.216211655,0.199011034,0.205398707,0.200298887,0.207940576,0.251191835,0.256159613,0.247633364,0.247633364
HRV,Croatia,0.37750792,0.37750792,0.404778218,0.432048511,0.466966444,0.501884378,0.483645254,0.46540613,0.490923637,0.510685485,0.518102519,0.488988217,0.507004453,0.514303874,0.528779521,0.535620552,0.53546361,0.53546361
CUB,Cuba,0.297276585,0.297276585,0.309001827,0.320727057,0.316850352,0.312973647,0.299002242,0.285030852,0.275320252,0.295500938,0.301383857,0.36733654,0.378664551,0.363687005,0.387588832,0.3885653,0.398003445,0.398003445
CYP,Cyprus,0.664406844,0.664406844,0.675380993,0.686355132,0.691000724,0.69564633,0.693643355,0.691640371,0.678745705,0.680453126,0.681070907,0.715180065,0.716992404,0.739334853,0.738272001,0.738452155,0.712305292,0.712305292
CZE,Czech Republic,0.667524501,0.667524501,0.667914999,0.668305489,0.64415108,0.619996672,0.642819476,0.665642298,0.667481656,0.649141719,0.664056128,0.664839611,0.669887002,0.675326365,0.692120986,0.690503311,0.702664396,0.702664396
DNK,Denmark,0.857937195,0.857937195,0.863301325,0.868665445,0.864266348,0.859867249,0.867148352,0.874429462,0.883882119,0.890608991,0.889213949,0.897298798,0.900384596,0.891157473,0.881062139,0.876000299,0.883270481,0.883270481
DJI,Djibouti,0.307900344,0.307900344,0.317448413,0.326996479,0.324384999,0.321773502,0.322636962,0.323500429,0.330234569,0.339265309,0.317642738,0.33523486,0.3593844,0.381746331,0.369338191,0.356762323,0.350892803,0.350892803
DMA,Dominica,0.655945628,0.655945628,0.644148052,0.632350475,0.628530419,0.624710361,0.634888375,0.645066398,0.636587336,0.622988219,0.625300152,0.64318064,0.635977689,0.626623742,0.63929956,0.637506842,0.623053872,0.623053872
