"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"DJI","Djibouti",,0.21,,-1.07,,-0.5,,-0.39,-0.92,-0.23,-0.63,-0.23,-0.07,0.34,0.48,,
"DMA","Dominica",,,,0.65,,0.42,,0.46,0.67,1.11,0.9,0.97,0.84,1.01,0.75,,
"DOM","Dominican Republic",,-0.48,,-0.35,,0.09,,0.17,-0.28,-0.17,-0.12,-0.01,-0.02,0.02,0.12,,
"ECU","Ecuador",,-0.78,,-0.33,,-0.91,,-0.77,-0.92,-0.84,-0.85,-0.89,-0.87,-0.8,-0.75,,
"EGY","Egypt",,-0.95,,-0.44,,-0.27,,-0.62,-0.78,-0.89,-0.83,-0.88,-0.62,-0.51,-0.63,,
"SLV","El Salvador",,-0.29,,-0.16,,0.23,,0.27,-0.17,-0.02,0,-0.12,0.02,0.1,0.03,,
"GNQ","Equatorial Guinea",,-0.85,,-0.25,,-0.1,,-0.63,-0.17,-0.38,-0.66,-0.26,-0.16,-0.16,-0.02,,
"ERI","Eritrea",,0.28,,-1.4,,-1.25,,-0.42,-0.75,-0.62,-0.71,-0.92,-1.03,-0.7,-0.8,,
"EST","Estonia",,0.67,,0.68,,0.81,,0.93,0.96,0.75,0.65,0.78,0.65,0.61,0.59,,
"ETH","Ethiopia",,-0.96,,-0.84,,-1.27,,-1.24,-1.35,-1.14,-1.53,-1.72,-1.8,-1.73,-1.73,,
"FJI","Fiji",,0.76,,0.84,,-0.04,,0.37,0.42,0.3,0.38,-0.03,0.05,0.01,-0.22,,
"FIN","Finland",,1.21,,1.28,,1.44,,1.57,1.58,1.48,1.43,1.41,1.4,1.38,1.36,,
"FRA","France",,0.88,,0.76,,0.82,,0.95,0.53,0.53,0.54,0.58,0.57,0.58,0.55,,
"GAB","Gabon",,-0.24,,-0.02,,0.26,,0.15,0.07,0.09,0.09,0.11,0.21,0.22,0.12,,
"GMB","Gambia",,0.11,,0.61,,0.46,,0.68,0.38,0.28,0.26,-0.04,-0.01,0.04,0.26,,
"GEO","Georgia",,-0.93,,-1.58,,-1.45,,-1.57,-1.53,-0.97,-0.63,-0.84,-0.62,-0.88,-0.99,,
