ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
BWA,Botswana,0.918264413,0.918264413,0.897410452,0.87655652,0.911260724,0.945965002,0.867411137,0.788857256,1.069676791,0.879095567,1.049079782,0.886078508,0.918793122,0.937387974,0.945523516,0.956278177,1.038377581,1.038377581
BRA,Brazil,-0.254006713,-0.254006713,-0.307637393,-0.361268073,-0.088559449,0.184149167,0.231139332,0.278129478,-0.013918536,-0.281848655,-0.238809943,-0.223061873,-0.322376372,-0.24339445,0.225780352,0.0823528,-0.03558755,-0.03558755
BRN,Brunei Darussalam,1.153927182,1.153927182,1.095354199,1.036781198,1.136353731,1.235926178,1.156035304,1.076144418,1.150209367,1.400932736,1.261753336,1.191386428,1.172626979,1.164708996,1.363033774,1.237125118,1.121635684,1.121635684
BGR,Bulgaria,-0.212933998,-0.212933998,0.160078272,0.533090525,0.442303836,0.351517176,0.372388572,0.393259971,0.139132901,-0.023694314,0.129913988,0.418285728,0.37437293,0.361835733,0.367231776,0.374468228,0.304289549,0.304289549
BFA,Burkina Faso,-0.413137507,-0.413137507,-0.306618541,-0.200099567,-0.108294733,-0.016489896,-0.198596224,-0.380702564,0.017159805,-0.114757093,-0.081807015,0.178195498,0.308396733,0.112004884,0.010156593,-0.136707928,-0.541545387,-0.541545387
BDI,Burundi,-2.240247989,-2.240247989,-2.33616519,-2.4320824,-2.291796684,-2.151511256,-2.274611473,-2.397711632,-2.308024422,-2.515943354,-1.507718042,-1.391205884,-1.316672406,-1.627807497,-1.262595287,-1.5911818,-1.811955913,-1.811955913
KHM,Cambodia,-1.15375984,-1.15375984,-1.223702073,-1.293644307,-1.084843636,-0.876043083,-0.845446706,-0.81485027,-0.724048605,-0.440773473,-0.4283228,-0.395586395,-0.414639062,-0.355847139,-0.657574358,-0.617380339,-0.440190077,-0.440190077
CMR,Cameroon,-1.068774796,-1.068774796,-0.940576792,-0.812378828,-0.687954783,-0.563530675,-0.646868467,-0.730206208,-0.491298828,-0.408388132,-0.18448824,-0.316070718,-0.383214654,-0.588461673,-0.365731452,-0.59813879,-0.613138605,-0.613138605
CAN,Canada,1.158935188,1.158935188,1.034232616,0.909529931,1.007454872,1.105379945,1.124307871,1.143235827,1.03617447,0.847567071,0.792364537,1.005088699,0.978317017,1.015059177,1.107976634,0.919246241,1.040332367,1.040332367
CPV,Cape Verde,0.946017961,0.946017961,0.980454206,1.014890378,1.065212488,1.115534583,0.881180048,0.646825551,0.907998228,1.063515762,0.777720859,0.968151141,0.901188633,0.827802693,0.838659244,0.854414372,0.711531423,0.711531423
CAF,Central African Republic,-1.359940116,-1.359940116,-1.335898876,-1.311857546,-1.303453684,-1.29504983,-1.583195686,-1.871341647,-1.580508111,-1.406548892,-1.422138721,-1.841246774,-1.837060952,-1.832776492,-2.052906487,-2.171087267,-2.036429245,-2.036429245
TCD,Chad,-1.09918829,-1.09918829,-1.253057003,-1.406925549,-1.328713417,-1.250501215,-1.470385194,-1.690269173,-1.409942288,-1.495756517,-1.395694395,-1.879639851,-1.930969642,-2.038543539,-1.629782073,-1.475336577,-1.291015105,-1.291015105
CHL,Chile,0.618212706,0.618212706,0.302907884,-0.01239691,0.210790738,0.433978412,0.719622731,1.005266969,0.758879591,0.683229791,0.856036541,0.564753448,0.384418863,0.408352062,0.5612997,0.634325765,0.557909416,0.557909416
CHN,China,-0.172209439,-0.172209439,-0.301558673,-0.430907867,-0.354283959,-0.277660033,-0.324056834,-0.370453636,-0.584812193,-0.367587643,-0.487761232,-0.568237987,-0.518196377,-0.50540775,-0.552053143,-0.76433162,-0.698287617,-0.698287617
