ISO3,name,1995.000000000000000,1996.000000000000000,1997.000000000000000,1998.000000000000000,1999.000000000000000,2000.000000000000000,2001.000000000000000,2002.000000000000000,2003.000000000000000,2004.000000000000000,2005.000000000000000,2006.000000000000000,2007.000000000000000,2008.000000000000000,2009.000000000000000,2010.000000000000000
AFG,Afghanistan,,,,,,35.570000000000000,,,,,,,,,,
ALB,Albania,,,,,,4.408000000000000,,,,,,,,,,
DZA,Algeria,,,,,,52.650000000000000,,,,,,,,,,
AND,Andorra,,,,,,,,,,,,,,,,
AGO,Angola,,,,,,0.432700000000000,,,,,,,,,,
ATG,Antigua and Barbuda,,,,,,50.000000000000000,,,,,,,,,,
ARG,Argentina,3.511000000000000,,,,,4.001000000000000,,,,,,,,,,
ARM,Armenia,37.650000000000000,,,,,22.310000000000000,,,,,36.390000000000000,,,,,
AUS,Australia,4.504000000000000,,,,,4.583000000000000,,,,,,,,,,
AUT,Austria,4.687000000000000,,,,,4.704000000000000,,,,,,,,,,
AZE,Azerbaijan,36.070000000000000,,,,,29.040000000000000,,,,,35.210000000000000,,,,,
BHS,Bahamas,,,,,,50.000000000000000,,,,,,,,,,
BHR,Bahrain,,,,,,,,,,,219.800000000000000,,,,,
BGD,Bangladesh ,,,,,,,,,,,,,,,,2.923000000000000
BRB,Barbados,,,,,,76.120000000000000,,,,,,,,,,
BLR,Belarus,,,,,,7.479000000000000,,,,,,,,,,
BEL,Belgium,41.620000000000000,,,,,41.190000000000000,,,,,33.970000000000000,,,,,
BLZ,Belize,0.619900000000000,,,,,0.808600000000000,,,,,,,,,,
BEN,Benin,,,,,,0.492600000000000,,,,,,,,,,
BTN,Bhutan,,,,,,,,,,,,,,,,0.433300000000000
BOL,"Bolivia, Plurinational State of",,,,,,0.325600000000000,,,,,,,,,,
BIH,Bosnia and Herzegovina,,,,,,,,,,,0.890700000000000,,,,,0.904000000000000
BWA,Botswana,1.172000000000000,,,,,1.585000000000000,,,,,,,,,,
BRA,Brazil,0.666500000000000,,,,,0.720300000000000,,,,,0.705300000000000,,,,,
BRN,Brunei Darussalam,1.082000000000000,,,,,,,,,,,,,,,
BGR,Bulgaria,,,,,,28.790000000000000,,,,,29.540000000000000,,,,,28.730000000000000
