ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
COG,Congo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COD,"Congo, the Democratic Republic of the",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
CRI,Costa Rica,5.14,4.587999821,4.036000252,3.484000206,2.93200016,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38
CIV,C™te d'Ivoire,1.52,1.56400001,1.60800004,1.65199995,1.69599998,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74
HRV,Croatia,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
CUB,Cuba,13.65,14.87999916,16.1099987,17.34000015,18.56999969,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8
CYP,Cyprus,26.67,25.4640007,24.25799942,23.05200005,21.84600067,20.64,21.19199944,21.74399948,22.29599953,22.84799957,23.4,22.57799911,21.75600052,20.93400002,20.11200142,19.29,19.29,19.29
CZE,Czech Republic,18.96,17.82600021,16.69199944,15.55799961,14.42399979,13.29,13.44200039,13.59399986,13.74600029,13.89799976,14.05000019,14.20200062,14.35400009,14.50600052,14.65799999,14.81,14.81,14.81
DNK,Denmark,11.15,11.15,11.15,11.15,11.15,11.15,10.7699995,10.38999939,10.01000023,9.630000114,9.25,9.550000191,9.850000381,10.14999962,10.44999981,10.75,10.75,10.75
DJI,Djibouti,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
DMA,Dominica,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
DOM,Dominican Republic,39.71,35.08799744,30.4659996,25.84399986,21.22200012,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6
