ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CPV,Cape Verde,0.51232,0.502986,0.493652,0.484318,0.474984,0.46565,0.457142,0.448634,0.440126,0.431618,0.42311,0.414822,0.406534,0.398246,0.389958,0.38167,0.374214,0.374214
CAF,Central African Republic,0.62769,0.626874,0.626058,0.625242,0.624426,0.62361,0.622754,0.621898,0.621042,0.620186,0.61933,0.617766,0.616202,0.614638,0.613074,0.61151,0.608994,0.608994
TCD,Chad,0.78559,0.785404,0.785218,0.785032,0.784846,0.78466,0.784474,0.784288,0.784102,0.783916,0.78373,0.783506,0.783282,0.783058,0.782834,0.78261,0.781706,0.781706
CHL,Chile,0.15628,0.153132,0.149984,0.146836,0.143688,0.14054,0.137186,0.133832,0.130478,0.127124,0.12377,0.121132,0.118494,0.115856,0.113218,0.11058,0.108544,0.108544
CHN,China,0.69039,0.680558,0.670726,0.660894,0.651062,0.64123,0.62794,0.61465,0.60136,0.58807,0.57478,0.561372,0.547964,0.534556,0.521148,0.50774,0.494992,0.494992
COL,Colombia,0.29484,0.291722,0.288604,0.285486,0.282368,0.27925,0.276238,0.273226,0.270214,0.267202,0.26419,0.261312,0.258434,0.255556,0.252678,0.2498,0.247072,0.247072
COM,Comoros,0.71699,0.717432,0.717874,0.718316,0.718758,0.7192,0.71961,0.72002,0.72043,0.72084,0.72125,0.72106,0.72087,0.72068,0.72049,0.7203,0.719314,0.719314
COG,Congo,0.43587,0.431306,0.426742,0.422178,0.417614,0.41305,0.408464,0.403878,0.399292,0.394706,0.39012,0.38565,0.38118,0.37671,0.37224,0.36777,0.363506,0.363506
COD,"Congo, the Democratic Republic of the",0.7182,0.715954,0.713708,0.711462,0.709216,0.70697,0.703258,0.699546,0.695834,0.692122,0.68841,0.683274,0.678138,0.673002,0.667866,0.66273,0.65721,0.65721
CRI,Costa Rica,0.44211,0.435612,0.429114,0.422616,0.416118,0.40962,0.404284,0.398948,0.393612,0.388276,0.38294,0.37798,0.37302,0.36806,0.3631,0.35814,0.353562,0.353562
CIV,C™te d'Ivoire,0.5879,0.583238,0.578576,0.573914,0.569252,0.56459,0.558,0.55141,0.54482,0.53823,0.53164,0.524198,0.516756,0.509314,0.501872,0.49443,0.487202,0.487202
HRV,Croatia,0.45108,0.44969,0.4483,0.44691,0.44552,0.44413,0.442492,0.440854,0.439216,0.437578,0.43594,0.433678,0.431416,0.429154,0.426892,0.42463,0.421758,0.421758
CUB,Cuba,0.25723,0.254584,0.251938,0.249292,0.246646,0.244,0.244,0.244,0.244,0.244,0.244,0.24477,0.24554,0.24631,0.24708,0.24785,0.24807,0.24807
CYP,Cyprus,0.31962,0.3184,0.31718,0.31596,0.31474,0.31352,0.311928,0.310336,0.308744,0.307152,0.30556,0.303826,0.302092,0.300358,0.298624,0.29689,0.294914,0.294914
CZE,Czech Republic,0.25357,0.25488,0.25619,0.2575,0.25881,0.26012,0.2607,0.26128,0.26186,0.26244,0.26302,0.263488,0.263956,0.264424,0.264892,0.26536,0.265576,0.265576
DNK,Denmark,0.15021,0.149968,0.149726,0.149484,0.149242,0.149,0.147488,0.145976,0.144464,0.142952,0.14144,0.139562,0.137684,0.135806,0.133928,0.13205,0.130692,0.130692
DJI,Djibouti,0.237,0.236536,0.236072,0.235608,0.235144,0.23468,0.234222,0.233764,0.233306,0.232848,0.23239,0.231914,0.231438,0.230962,0.230486,0.23001,0.2292,0.2292
DMA,Dominica,0.32371,0.324612,0.325514,0.326416,0.327318,0.32822,0.328776,0.329332,0.329888,0.330444,0.331,0.33068,0.33036,0.33004,0.32972,0.3294,0.328212,0.328212
DOM,Dominican Republic,0.42404,0.41574,0.40744,0.39914,0.39084,0.38254,0.37467,0.3668,0.35893,0.35106,0.34319,0.336406,0.329622,0.322838,0.316054,0.30927,0.303604,0.303604
ECU,Ecuador,0.42234,0.417274,0.412208,0.407142,0.402076,0.39701,0.390394,0.383778,0.377162,0.370546,0.36393,0.357418,0.350906,0.344394,0.337882,0.33137,0.325768,0.325768
EGY,Egypt,0.57186,0.571894,0.571928,0.571962,0.571996,0.57203,0.57157,0.57111,0.57065,0.57019,0.56973,0.569034,0.568338,0.567642,0.566946,0.56625,0.564614,0.564614
SLV,El Salvador,0.46033,0.45044,0.44055,0.43066,0.42077,0.41088,0.405408,0.399936,0.394464,0.388992,0.38352,0.378256,0.372992,0.367728,0.362464,0.3572,0.352366,0.352366
