ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,,,,,,,,,,0.5,,,,,0.073,
ALB,Albania,,,,,,,,,,,,4.05,4.03,,3.896,3.896,
DZA,Algeria,,,,,,,,2.23,,,,,1.947,,,1.947,
AND,Andorra,,,,,,,,,,,,3.87,4.18,,4.574,4.574,
AGO,Angola,,,,,,,,,,1.35,,,,,1.66,,
ATG,Antigua and Barbuda,,,,,3.282,,,,,,,,,,,,
ARG,Argentina,,,,0.8,,,,,,0.481,,,,,,,
ARM,Armenia,,,,,,,,,,,,4.92,4.87,,,4.818,4.916
AUS,Australia,,,,,,,9.71,,,,,10.907,,,9.589,9.589,
AUT,Austria,,,,,,,,,,,,6.55,6.642,7.84,,7.965,
AZE,Azerbaijan,,,,,,,,,,,,8.41,8.42,,,8.344,6.84
BHS,Bahamas,,,,4.47,,,,,,,,,,4.14,,,
BHR,Bahrain,,,,,,,,,,,6.07,,5.798,3.733,,3.858,
BGD,Bangladesh ,,,,,,,,,,,0.28,,0.272,,,0.272,0.218
BRB,Barbados,,,,,3.7,,,,,,4.856,,,,,4.856,
BLR,Belarus,,,,,,,,,,,,12.51,12.56,,,13.11,10.529
BEL,Belgium,,,,,,,,,,14.2,,,,,,22.211,
BLZ,Belize,,,,,,1.26,,,,,,,,,1.959,1.959,
BEN,Benin,,,,,,,,,,0.84,,,,0.771,,0.771,
BTN,Bhutan,,,,,,,,,,,,,0.2411,0.288,,0.2411,
BOL,"Bolivia, Plurinational State of",,,,,,,2.133,,,,,,,,,,
BIH,Bosnia and Herzegovina,,,,,,,,,,,4.69,,,,,5.167,
BWA,Botswana,,,,,,,,,,2.65,,2.844,,,,2.844,
BRA,Brazil,,,,,,3.84,,,,,,2.909,6.5,6.419,,6.419,
BRN,Brunei Darussalam,,,,,,,,6.06,,,,,,4.877,,7.022,
BGR,Bulgaria,,,,,,,,,,,,4.57,4.68,4.72,,4.705,
BFA,Burkina Faso,,,,,,,,,,0.49,,,,0.729,,0.565,
BDI,Burundi,,,,,,,,,,0.191,,,,,,,
KHM,Cambodia,,,,,,0.85,,,,,,,,0.786,,0.88,
CMR,Cameroon,,,,,,,,,,1.6,,,,,0.438,,
CAN,Canada,,,,,,,,,,,,10.05,,,,,
CPV,Cape Verde,,,,,,,,,,0.87,,,,1.317,,0.453,
CAF,Central African Republic,,,,,,,,,,0.41,,,,,0.257,,
TCD,Chad,,,,,,,,,,0.28,,0.188,,,,,
CHL,Chile,,,,,,,,,0.63,,,,,,0.144,0.144,
CHN,China,,,,,,,,,0.96,,,,,,,1.512,1.66
COL,Colombia,,,,,,,,0.55,,,,,,,,0.616,
COM,Comoros,,,,,,,,,,0.744,,,,,,,
COG,Congo,,,,,,,,,,0.96,,,0.824,,,0.824,
COD,"Congo, the Democratic Republic of the",,,,,,,,,,0.529,,,,,,,
CRI,Costa Rica,,,,,,0.93,,,,,,,,,,,
CIV,C™te d'Ivoire,,,,,,,,,,0.6,,,,0.483,,0.483,
HRV,Croatia,,,,,,,,,,,,5.46,5.58,,,5.516,
CUB,Cuba,,,,,,,,7.44,,,,,8.64,,,9.053,
CYP,Cyprus,,,,,,,,,,,,3.98,,4.299,,4.451,
CZE,Czech Republic,,,,,,,,,,,,8.93,8.954,8.55,,8.785,
DNK,Denmark,,,,,,,,,,10.06,,9.756,14.54,,16.093,16.093,
DJI,Djibouti,,,,,,,,,,0.42,0.568,,,0.8,,0.8,
DMA,Dominica,,,4.17,,,,5.615,,,,,,,,,,
DOM,Dominican Republic,,,,,,1.838,,,,,,,,,,,
ECU,Ecuador,,,,,,1.66,,,,,,,,,1.983,1.983,
EGY,Egypt,,,,,,,,,,,3.35,,,,3.52,3.52,
SLV,El Salvador,,,,,,,,0.8,,,,,,0.405,,0.405,
GNQ,Equatorial Guinea,,,,,,,,,,0.535,,,,,,,
ERI,Eritrea,,,,,,,,,,0.583,,,,,,,
EST,Estonia,,,,,,,,,,,,6.98,,6.82,,6.561,
ETH,Ethiopia,,,,,,,,,0.22,,,,0.236,,0.253,0.236,
FJI,Fiji,,,,,,,,,1.98,,,,,,2.242,2.242,
FIN,Finland,,,,,,,,,,,,8.92,15.52,,23.956,23.956,
FRA,France,,,,,,,,,,,,8,,8.093,,0.306,9.3
GAB,Gabon,,,,,,,,,,5.017,,,,,,,
GMB,Gambia,,,,,,,,,1.32,,,,,0.865,,0.568,
GEO,Georgia,,,,,,,,,,,,4.03,3.89,,,3.217,0.153
DEU,Germany,,,,,,,,,,,8.01,7.991,,10.82,,11.378,
GHA,Ghana,,,,,,,,,,0.92,,,,0.975,1.046,1.046,
GRC,Greece,,,,,,,,,,,3.6,3.476,,3.66,,0.235,
GRD,Grenada,,,,3.98,,,,,4.575,,,3.827,,,,,
GTM,Guatemala,,,,,4.05,,,,,,,,,,,,
GIN,Guinea,,,,,,,,,,0.51,0.043,,,,,0.043,
GNB,GuineaBissau,,,,,,,,,,0.7,,,,0.551,0.585,0.551,
GUY,Guyana,,,,,,2.29,,,,,,,,,,0.531,
HTI,Haiti,,,,0.107,,,,,,,,,,,,,
HND,Honduras,,,,,,1.32,,,,,1.082,,,,,,
HUN,Hungary,,,,,,,,,,,,9.15,9.207,6.33,,6.416,
ISL,Iceland,,,,,,,,,,10.14,,,,16.48,,15.879,
IND,India,,,,,,,,,,1.27,1.3,,,0.996,,0.996,
IDN,Indonesia,,,,,,,,,0.82,,,,2.041,,,2.041,
IRN,"Iran, Islamic Republic of",,,,,,,,,,,1.41,,,,,1.41,
IRQ,Iraq,,,,,,,,,,,1.32,,1.049,,,1.38,
IRL,Ireland,,,,,,,,,,,,19.45,15.759,,,15.671,
ISR,Israel,,,,,,,,,,,,6.22,6.15,,,5.181,4.972
ITA,Italy,,,,,,,,,,,,6.932,,,,0.29,
JAM,Jamaica,,,,,,,,,1.65,,,,,1.092,,,
JPN,Japan,,,,,,,,,,9.47,,4.143,,,,4.143,
JOR,Jordan,,,,,,,,,,,3.23,3.179,,,,4.049,
KAZ,Kazakhstan,,,,,,,,,,,,7.64,7.83,,8.276,8.276,
KEN,Kenya,,,,,,,,1.18,,,,,,,,,0.792
KIR,Kiribati,,,,,,,,,,3.02,,,,,,3.706,
PRK,"Korea, Democratic People's Republic of",,,,,,,,,4.122,,,,,,,,
KOR,"Korea, Republic of",,,,,,,,,1.93,4.393,,,,5.289,,5.289,
KWT,Kuwait,,,,,,,,,,,3.7,,,,4.55,4.55,
KGZ,Kyrgyzstan,,,,,,,,,,,,5.79,5.662,,,5.662,5.822
LAO,Lao People's Democratic Republic,,,,,,,,,,0.97,0.966,,,,0.823,0.966,
LVA,Latvia,,,,,,,,,,,,5.59,5.652,,,4.859,
LBN,Lebanon,,,,,,,,,,,1.32,,,,2.23,2.23,
LSO,Lesotho,,,,,,,,,0.623,,,,,,,,
LBR,Liberia,,,,,,,,,,0.3,,,,0.274,,0.274,
