ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
CHN,China,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.038857102,1.117714286,1.19657135,1.275428534,1.354285717,1.433142781,1.512,1.66,1.66
COL,Colombia,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55825001,0.566500008,0.574750006,0.583000004,0.591250002,0.5995,0.607749999,0.616,0.616,0.616
COM,Comoros,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744
COG,Congo,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.914666653,0.869333327,0.824,0.824000001,0.824000001,0.824,0.824,0.824
COD,"Congo, the Democratic Republic of the",0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529
CRI,Costa Rica,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
CIV,C™te d'Ivoire,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.570749998,0.541500032,0.512250006,0.483,0.48300001,0.483,0.483,0.483
HRV,Croatia,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.58,5.558666706,5.537333012,5.516,5.516,5.516
CUB,Cuba,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.680000305,7.920000076,8.159999847,8.400000572,8.64,8.777667046,8.915333748,9.053,9.053,9.053
CYP,Cyprus,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,4.139499664,4.299,4.375,4.451,4.451,4.451
CZE,Czech Republic,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.954,8.55,8.667499542,8.785,8.785,8.785
DNK,Denmark,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,9.907999992,9.756,14.54,15.31649971,16.093,16.093,16.093,16.093
DJI,Djibouti,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.568,0.64533335,0.722666681,0.8,0.800000012,0.8,0.8,0.8
DMA,Dominica,4.17,4.17,4.17,4.53125,4.892499924,5.253749847,5.615,5.615,5.615,5.615,5.615,5.615,5.615,5.615,5.615,5.615,5.615,5.615
