ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
KHM,Cambodia,,-0.855537646,,-0.916560292,,-0.828476096,,-0.76806712,-0.960454316,-0.887346955,-1.013005239,-0.918609001,-0.917434605,-0.960494403,-0.899862117,-0.915459714,-0.905413977
CMR,Cameroon,,-0.975586225,,-1.140909721,,-1.142707716,,-1.169707537,-1.115402871,-0.986222176,-1.016543276,-0.991258793,-1.031863117,-1.054328467,-1.033255183,-1.053530526,-1.064141219
CAN,Canada,,1.617055662,,1.618234968,,1.590498272,,1.522775912,1.526079332,1.675282242,1.495488297,1.418974843,1.385257758,1.418143507,1.435674758,1.383935972,1.413250736
CPV,Cape Verde,,0.915137483,,0.915542061,,0.738886824,,0.660064463,0.665718513,0.696838053,0.486063863,0.757912642,0.851024678,0.932052768,0.883381515,0.887058012,0.960523564
CAF,Central African Republic,,-0.985888907,,-0.754997098,,-0.710363942,,-1.072125199,-1.301507762,-1.304162803,-0.946253682,-0.993404563,-1.066957473,-1.007181703,-1.026028678,-1.13390178,-1.122763029
TCD,Chad,,-1.074961833,,-1.050090584,,-1.031485544,,-0.959800215,-1.099199808,-1.194875267,-1.259540842,-1.430846186,-1.469463733,-1.467200969,-1.410188858,-1.360620618,-1.350061444
CHL,Chile,,0.653683172,,0.49096655,,0.838451066,,1.056321008,0.978543348,1.166411431,1.244067284,1.043526689,1.069479947,0.989721405,0.983234505,1.06157947,1.057753511
CHN,China,,-1.297506582,,-1.369857568,,-1.28875095,,-1.573470077,-1.541464995,-1.455025522,-1.495930168,-1.693782435,-1.673959892,-1.653628345,-1.653096537,-1.632317614,-1.643610163
COL,Colombia,,-0.653624542,,-0.469820401,,-0.555154328,,-0.493406001,-0.459237883,-0.309022566,-0.299656609,-0.210177274,-0.205311892,-0.20450879,-0.182456565,-0.182451023,-0.147578303
COM,Comoros,,-0.579145472,,-0.514593073,,-1.158528024,,-0.410191345,-0.569153246,-0.549759487,-0.62961162,-0.281816098,-0.469376776,-0.35016823,-0.366937143,-0.453408601,-0.458514588
