ISO3,name,"1,995.","1,996.","1,997.","1,998.","1,999.","2,000.","2,001.","2,002.","2,003.","2,004.","2,005.","2,006.","2,007.","2,008.","2,009.","2,010."
HRV,Croatia,72.08,72.37,72.50,72.32,72.64,72.81,74.51,74.72,74.61,75.52,75.24,75.84,75.71,75.91,74.39,72.88
CUB,Cuba,75.42,75.69,75.96,76.21,76.44,76.66,76.88,77.12,77.39,77.67,77.97,78.25,78.51,78.72,77.15,75.57
CYP,Cyprus,77.38,77.59,77.81,78.04,78.26,78.48,78.69,78.88,79.05,79.20,79.33,79.45,79.56,79.66,78.07,76.48
CZE,Czech Republic,73.07,73.71,73.82,74.42,74.60,74.97,75.21,75.32,75.32,75.72,76.01,76.63,76.91,77.21,75.67,74.12
DNK,Denmark,75.21,75.59,75.95,76.35,76.48,76.75,76.94,77.09,77.44,77.49,78.17,78.35,78.33,78.70,77.13,75.55
DJI,Djibouti,52.50,52.79,53.04,53.25,53.41,53.55,53.67,53.80,53.97,54.18,54.43,54.72,55.05,55.39,54.28,53.17
DMA,Dominica,75.15,75.55,75.95,76.08,76.21,76.34,76.47,76.60,75.07,73.53,72.00,70.47,68.94,67.41,65.87,64.34
DOM,Dominican Republic,69.65,69.93,70.20,70.47,70.74,71.00,71.26,71.51,71.73,71.94,72.12,72.28,72.43,72.57,71.12,69.67
ECU,Ecuador,71.24,71.70,72.14,72.58,72.99,73.37,73.72,74.02,74.28,74.50,74.69,74.85,74.99,75.13,73.63,72.13
EGY,Egypt,65.79,66.37,66.91,67.41,67.85,68.23,68.56,68.85,69.10,69.33,69.54,69.74,69.94,70.14,68.74,67.33
SLV,El Salvador,68.89,69.08,69.23,69.36,69.50,69.67,69.86,70.06,70.26,70.46,70.66,70.86,71.06,71.26,69.84,68.41
GNQ,Equatorial Guinea,48.30,48.47,48.59,48.66,48.69,48.71,48.74,48.80,48.90,49.05,49.27,49.54,49.87,50.23,49.22,48.22
