ISO3,name,"1,995.","1,996.","1,997.","1,998.","1,999.","2,000.","2,001.","2,002.","2,003.","2,004.","2,005.","2,006.","2,007.","2,008.","2,009.","2,010."
ARE,United Arab Emirates,75.46,75.83,76.15,76.41,76.62,76.80,76.94,77.05,77.16,77.27,77.38,77.50,77.62,77.75,76.19,74.64
GBR,United Kingdom,76.84,77.09,77.21,77.29,77.43,77.86,78.12,78.22,78.29,78.84,79.07,79.45,79.62,79.90,78.31,76.71
USA,United States,75.62,76.00,76.13,76.59,76.93,77.03,77.03,77.24,77.14,77.43,77.74,77.99,78.18,78.44,76.87,75.30
URY,Uruguay,73.39,73.53,73.66,73.95,74.15,74.89,74.87,74.84,74.88,75.22,75.61,75.73,75.86,75.98,74.46,72.94
UZB,Uzbekistan,66.32,66.43,66.57,66.70,66.83,66.93,67.02,67.10,67.18,67.26,67.35,67.46,67.60,67.76,66.40,65.05
VUT,Vanuatu,65.50,65.94,66.37,66.80,67.20,67.60,67.98,68.35,68.70,69.04,69.37,69.69,69.99,70.29,68.89,67.48
VEN,"Venezuela, Bolivarian Republic of",72.17,72.38,72.57,72.73,72.86,73.27,73.43,73.63,72.78,72.98,73.17,73.37,73.56,73.55,72.08,70.61
VNM,Viet Nam,69.43,69.99,70.51,71.00,71.48,71.95,72.38,72.78,73.13,73.44,73.71,73.94,74.16,74.37,72.88,71.40
YEM,Yemen,56.83,57.31,57.78,58.25,58.71,59.17,59.63,60.09,60.56,61.02,61.50,61.97,62.45,62.92,61.66,60.40
ZMB,Zambia,46.68,45.54,44.43,43.44,42.61,42.01,41.69,41.63,41.81,42.21,42.82,43.59,44.47,45.40,44.49,43.58
ZWE,Zimbabwe,53.24,51.04,48.82,46.73,44.86,43.32,42.19,41.45,41.09,41.10,41.47,42.16,43.10,44.21,43.33,42.45
